日期,CPI
201911,104.5
201910,103.8
201909,103.0
201908,102.8
201907,102.8
201906,102.7
201905,102.7
201904,102.5
201903,102.3
201902,101.5
201812,101.9
201811,102.2
201810,102.5
201809,102.5
201808,102.3
201807,102.1
201806,101.9
201805,101.8
201804,101.8
201803,102.1
201802,102.9
201801,101.5
201712,101.8
201711,101.7
201710,101.9
201709,101.6
201708,101.77
201707,101.4
201706,101.5
201705,101.5
201704,101.2
201703,100.9
201702,100.8
201701,102.55
201612,102.08
201611,102.3
201610,102.1
201609,101.9
201608,101.3
201606,101.88
201605,102.0
201604,102.3
201603,102.3
201602,102.3
201601,101.8
201512,101.64
201511,101.49
201510,101.27
201509,101.6
201508,101.96
201507,101.65
201506,101.39
201505,101.23
201504,101.51
201503,101.38
201502,101.43
201501,100.76
201412,101.51
201411,101.44
201410,101.6
201409,101.63
201408,101.99
201407,102.29
201406,102.3
201405,102.48
201404,101.8
201403,102.38
201402,102.0
201402,101.95
201401,102.49
201312,102.5
201311,103.02
201310,103.21
201309,103.05
201308,102.57
201307,102.37
201306,106.67
201305,102.1
201304,102.39
201303,102.07
201302,103.22
201301,102.03
201212,102.52
201210,101.72
201209,101.91
201208,102.05
201207,101.78
201206,102.2
201205,103.0
201204,103.37
201203,103.6
201202,103.2
201201,104.5
201201,104.5
201112,104.1
201111,104.2
201110,105.5
201109,106.1
201108,106.2
201107,106.5
201106,106.4
201105,105.5
201104,105.3
201103,105.4
201102,104.9
201101,104.9
201012,104.6
201011,105.1
201010,104.4
201009,103.6
201008,103.5
201007,103.3
201006,102.9
201005,103.1
201004,102.8
201003,102.4
201002,102.7
201001,101.5
200912,101.9
200911,100.6
200910,99.5
200909,99.2
200908,98.8
200907,98.2
200906,98.3
200905,98.6
200904,98.5
200903,98.8
200902,98.4
200901,101.0
200812,101.2
200811,102.4
200810,104.0
200809,104.6
200808,104.9
200807,106.3
200806,107.1
200805,107.7
200804,108.5
200803,108.3
200802,108.7
200801,107.1
200712,106.5
200711,106.9
200710,106.5
200709,106.2
200708,106.5
200707,105.6
200706,104.4
200705,103.4
200704,103.0
200703,103.3
200702,102.7
200701,102.2
200612,102.8
200611,101.9
200610,101.4
200609,101.5
200608,101.3
200607,101.0
200606,101.5
200605,101.4
200604,101.2
200603,100.8
200602,100.9
200601,101.9
200512,101.6
200511,101.3
200510,101.2
200509,100.9
200508,101.3
200507,101.8
200506,101.6
200505,101.8
200504,101.8
200503,102.7
200502,103.9
200501,101.9
200412,102.4
200411,102.8
200410,104.3
200409,105.2
200408,105.3
200407,105.3
200406,105.0
200405,104.4
200404,103.8
200403,103.0
200402,102.1
200401,103.2
200312,103.2
200311,103.0
200310,101.8
200309,101.1
200308,100.9
200307,100.5
200306,100.3
200305,100.7
200304,101.0
200303,100.9
200302,100.2
200301,100.4
200212,99.6
200211,99.3
200210,99.2
200209,99.3
200208,99.3
200207,99.1
200206,99.2
200205,98.9
200204,98.7
200203,99.2
200202,100.0
200201,99.0
200112,99.7
200111,99.7
200110,100.2
200109,99.9
200108,101.0
200107,101.5
200106,101.4
200105,101.7
200104,101.6
200103,100.8
200102,100.0
200101,101.2
200012,101.5
200011,101.3
200010,100.0
200009,100.0
200008,100.3
200007,100.5
200006,100.5
200005,100.1
200004,99.7
200003,99.8
200002,100.7
200001,99.8
