,指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
0,801003,申万Ａ指,2020/2/24 0:00:00,3615.18,3657.94,3596.12,3646.39,986.01,11944.79,0.65,1.8762,17.28,1.99,16.05,100.0,503801.62,136.49,1.34
1,801003,申万Ａ指,2020/2/21 0:00:00,3590.46,3646.96,3588.64,3622.79,959.77,11379.41,0.77,1.8265,17.18,1.97,15.79,100.0,502520.33,136.15,1.35
2,801003,申万Ａ指,2020/2/20 0:00:00,3529.91,3596.86,3517.21,3595.26,892.47,10426.09,2.12,1.6985,17.08,1.96,15.58,100.0,499520.04,135.33,1.36
3,801003,申万Ａ指,2020/2/19 0:00:00,3533.18,3557.75,3518.89,3520.52,847.57,10091.56,-0.51,1.6134,16.72,1.92,15.25,100.0,489885.23,132.76,1.38
4,801003,申万Ａ指,2020/2/18 0:00:00,3516.7,3538.42,3496.2,3538.42,834.3,9682.63,0.63,1.588,16.8,1.93,15.32,100.0,491572.96,133.25,1.38
5,801003,申万Ａ指,2020/2/17 0:00:00,3436.38,3516.4,3436.36,3516.4,788.75,9089.72,2.8,1.5016,16.72,1.92,15.03,100.0,489729.79,132.75,1.39
6,801003,申万Ａ指,2020/2/14 0:00:00,3399.63,3441.54,3396.32,3420.7,662.09,7823.02,0.46,1.262,16.26,1.87,14.52,100.0,477147.22,129.38,1.43
7,801003,申万Ａ指,2020/2/13 0:00:00,3431.15,3441.79,3396.97,3405.04,723.49,8358.27,-0.74,1.3792,16.19,1.86,14.48,100.0,474909.88,128.81,1.43
8,801003,申万Ａ指,2020/2/12 0:00:00,3375.48,3430.47,3374.73,3430.47,663.67,7621.39,1.36,1.2652,16.31,1.88,14.59,100.0,478313.17,129.76,1.42
9,801003,申万Ａ指,2020/2/11 0:00:00,3383.09,3402.57,3368.22,3384.54,681.53,7591.54,0.18,1.2992,16.1,1.85,14.32,100.0,472968.41,128.35,1.44
10,801003,申万Ａ指,2020/2/10 0:00:00,3336.57,3379.46,3328.03,3378.57,759.22,8553.82,0.9,1.4475,16.07,1.85,14.35,100.0,471401.35,127.96,1.44
11,801003,申万Ａ指,2020/2/7 0:00:00,3327.62,3348.47,3297.43,3348.47,792.84,8968.75,0.46,1.5122,15.93,1.83,14.21,100.0,467617.78,126.93,1.46
12,801003,申万Ａ指,2020/2/6 0:00:00,3261.34,3343.93,3242.02,3332.98,791.09,8838.33,2.42,1.5089,15.86,1.82,14.01,100.0,466102.36,126.56,1.46
13,801003,申万Ａ指,2020/2/5 0:00:00,3209.67,3286.93,3205.8,3254.3,757.67,8397.63,1.93,1.4454,15.49,1.78,13.61,100.0,456358.45,123.91,1.5
14,801003,申万Ａ指,2020/2/4 0:00:00,3052.93,3198.08,3052.93,3192.73,869.3,8842.48,1.7,1.6583,15.21,1.75,13.29,100.0,448954.82,121.9,1.53
15,801003,申万Ａ指,2020/2/3 0:00:00,3111.8,3167.44,3111.8,3139.23,404.94,4964.51,-8.15,0.7733,14.93,1.72,13.17,100.0,440632.85,119.64,1.56
16,801003,申万Ａ指,2020/1/23 0:00:00,3500.52,3515.47,3388.45,3417.64,669.86,7846.8,-3.3,1.2816,16.25,1.87,14.39,100.0,477503.2,129.65,1.43
17,801003,申万Ａ指,2020/1/22 0:00:00,3499.77,3544.17,3457.4,3534.23,565.09,6809.05,0.49,1.0824,16.8,1.93,14.92,100.0,492091.15,133.65,1.38
18,801003,申万Ａ指,2020/1/21 0:00:00,3554.95,3555.0,3516.34,3516.89,559.08,6623.24,-1.38,1.0712,16.71,1.93,14.84,100.0,490303.79,133.23,1.39
19,801003,申万Ａ指,2020/1/20 0:00:00,3538.99,3566.07,3525.11,3566.07,528.3,6480.27,1.02,1.0124,16.94,1.95,14.97,100.0,496714.21,134.98,1.37
20,801003,申万Ａ指,2020/1/17 0:00:00,3542.71,3553.18,3522.07,3530.02,480.7,5757.12,-0.08,0.9224,16.77,1.93,14.79,100.0,491823.94,133.68,1.39
21,801003,申万Ａ指,2020/1/16 0:00:00,3548.44,3549.93,3527.5,3532.99,503.54,5872.89,-0.29,0.9668,16.78,1.93,14.83,100.0,492130.63,133.77,1.39
22,801003,申万Ａ指,2020/1/15 0:00:00,3552.1,3558.12,3524.6,3543.21,530.46,5993.17,-0.37,1.0186,16.83,1.94,14.82,100.0,494088.81,134.34,1.38
23,801003,申万Ａ指,2020/1/14 0:00:00,3575.24,3578.05,3554.93,3556.2,603.35,6864.04,-0.27,1.1587,16.89,1.95,14.83,100.0,496283.53,134.93,1.38
24,801003,申万Ａ指,2020/1/13 0:00:00,3526.59,3565.81,3511.01,3565.81,552.49,6561.0,1.12,1.0611,16.94,1.95,14.87,100.0,497432.01,135.25,1.37
25,801003,申万Ａ指,2020/1/10 0:00:00,3541.24,3542.77,3512.89,3526.28,562.47,6291.91,-0.14,1.0804,16.76,1.93,14.66,100.0,492662.6,133.98,1.39
26,801003,申万Ａ指,2020/1/9 0:00:00,3508.41,3531.11,3508.31,3531.11,636.42,6934.88,1.44,1.2227,16.78,1.94,14.64,100.0,493164.37,134.12,1.39
27,801003,申万Ａ指,2020/1/8 0:00:00,3509.56,3520.45,3472.63,3481.01,756.49,7655.18,-1.24,1.4541,16.54,1.91,14.39,100.0,487180.26,132.49,1.41
28,801003,申万Ａ指,2020/1/7 0:00:00,3493.95,3524.61,3493.94,3524.61,687.43,7197.99,1.05,1.3212,16.75,1.93,14.55,100.0,493044.98,134.13,1.39
29,801003,申万Ａ指,2020/1/6 0:00:00,3463.64,3515.22,3459.46,3487.94,748.12,7912.81,0.21,1.4386,16.59,1.91,14.35,100.0,488248.62,132.86,1.41
30,801003,申万Ａ指,2020/1/3 0:00:00,3483.75,3490.46,3464.94,3480.68,632.1,6853.43,0.1,1.2158,16.57,1.91,14.27,100.0,487281.46,132.63,1.41
31,801003,申万Ａ指,2020/1/2 0:00:00,3444.88,3483.49,3443.76,3477.18,682.21,7419.12,1.59,1.3136,16.55,1.9,14.24,100.0,486619.02,132.45,1.41
32,801003,申万Ａ指,2019/12/31 0:00:00,3404.59,3423.2,3401.49,3422.84,497.67,5256.11,0.46,0.9584,16.3,1.87,14.01,100.0,479779.48,130.59,1.44
33,801003,申万Ａ指,2019/12/30 0:00:00,3359.8,3407.41,3338.29,3407.27,567.85,6022.62,1.13,1.0942,16.23,1.86,13.93,100.0,477227.94,129.96,1.44
34,801003,申万Ａ指,2019/12/27 0:00:00,3386.54,3410.05,3367.65,3369.1,595.21,6216.4,-0.43,1.1482,16.03,1.84,13.85,100.0,471825.49,128.46,1.46
35,801003,申万Ａ指,2019/12/26 0:00:00,3356.81,3383.5,3356.81,3383.5,471.18,4916.06,0.81,0.9091,16.1,1.85,13.94,100.0,472830.48,128.77,1.46
36,801003,申万Ａ指,2019/12/25 0:00:00,3346.71,3363.24,3341.02,3356.16,460.41,4903.04,0.19,0.8888,15.96,1.83,13.8,100.0,468517.08,127.7,1.47
