,801001,801002,801003,801005,801300,发布日期
0,14.26,32.32,17.28,53.1,16.36,2020/2/24 0:00:00
1,14.33,31.75,17.18,51.97,16.35,2020/2/21 0:00:00
2,14.36,31.26,17.08,52.09,16.19,2020/2/20 0:00:00
3,13.99,30.55,16.72,51.02,15.82,2020/2/19 0:00:00
4,13.97,30.77,16.8,51.69,15.87,2020/2/18 0:00:00
5,14.08,30.4,16.72,50.63,15.91,2020/2/17 0:00:00
6,13.8,29.42,16.26,48.71,15.54,2020/2/14 0:00:00
7,13.73,29.34,16.19,48.57,15.45,2020/2/13 0:00:00
8,13.84,29.59,16.31,49.02,15.56,2020/2/12 0:00:00
9,13.77,29.08,16.1,47.75,15.41,2020/2/11 0:00:00
10,13.59,29.07,16.07,48.19,15.28,2020/2/10 0:00:00
11,13.55,28.78,15.93,47.62,15.18,2020/2/7 0:00:00
12,13.62,28.69,15.86,47.13,15.19,2020/2/6 0:00:00
13,13.4,27.89,15.49,45.47,14.88,2020/2/5 0:00:00
14,13.24,27.2,15.21,44.11,14.68,2020/2/4 0:00:00
15,12.78,26.68,14.93,42.95,14.28,2020/2/3 0:00:00
16,13.79,29.2,16.25,46.37,15.46,2020/1/23 0:00:00
17,14.25,30.25,16.8,48.07,15.98,2020/1/22 0:00:00
18,14.14,29.91,16.71,47.56,15.88,2020/1/21 0:00:00
19,14.42,30.19,16.94,47.91,16.14,2020/1/20 0:00:00
20,14.32,29.69,16.77,46.97,15.99,2020/1/17 0:00:00
21,14.28,29.82,16.78,47.09,15.97,2020/1/16 0:00:00
22,14.34,29.87,16.83,47.04,16.02,2020/1/15 0:00:00
23,14.4,29.87,16.89,47.0,16.08,2020/1/14 0:00:00
24,14.48,29.9,16.94,47.17,16.16,2020/1/13 0:00:00
25,14.31,29.39,16.76,46.44,15.99,2020/1/10 0:00:00
26,14.32,29.44,16.78,46.58,16.0,2020/1/9 0:00:00
27,14.11,28.91,16.54,45.47,15.77,2020/1/8 0:00:00
28,14.23,29.31,16.75,46.1,15.96,2020/1/7 0:00:00
29,14.11,28.98,16.59,45.32,15.83,2020/1/6 0:00:00
30,14.19,28.69,16.57,44.87,15.86,2020/1/3 0:00:00
31,14.25,28.48,16.55,44.72,15.89,2020/1/2 0:00:00
32,11.92,27.85,16.3,43.81,15.16,2019/12/31 0:00:00
33,11.92,27.67,16.23,43.63,15.1,2019/12/30 0:00:00
34,11.71,27.47,16.03,43.33,14.86,2019/12/27 0:00:00
35,11.71,27.68,16.1,43.98,14.89,2019/12/26 0:00:00
36,11.6,27.53,15.96,43.72,14.8,2019/12/25 0:00:00
37,11.62,27.4,15.93,43.34,14.8,2019/12/24 0:00:00
38,11.56,26.95,15.76,42.54,14.69,2019/12/23 0:00:00
