,801001,801002,801003,801005,801300,发布日期
0,3191.39,6686.97,3646.39,2673.68,3059.86,2020/2/24 0:00:00
1,3206.28,6570.12,3622.79,2618.92,3056.57,2020/2/21 0:00:00
2,3209.41,6469.99,3595.26,2571.61,3043.78,2020/2/20 0:00:00
3,3130.71,6329.9,3520.52,2516.71,2973.1,2020/2/19 0:00:00
4,3125.2,6369.34,3538.42,2549.46,2982.14,2020/2/18 0:00:00
5,3147.7,6291.56,3516.4,2497.88,2989.49,2020/2/17 0:00:00
6,3084.2,6098.22,3420.7,2401.39,2919.79,2020/2/14 0:00:00
7,3065.14,6073.39,3405.04,2395.47,2903.27,2020/2/13 0:00:00
8,3088.98,6121.62,3430.47,2417.42,2921.36,2020/2/12 0:00:00
9,3072.33,6017.05,3384.54,2353.92,2890.42,2020/2/11 0:00:00
10,3033.5,6014.57,3378.57,2374.11,2866.17,2020/2/10 0:00:00
11,3023.87,5946.87,3348.47,2345.65,2849.65,2020/2/7 0:00:00
12,3039.41,5921.59,3332.98,2320.53,2849.93,2020/2/6 0:00:00
13,2984.36,5751.53,3254.3,2240.58,2792.38,2020/2/5 0:00:00
14,2950.02,5607.15,3192.73,2173.65,2755.4,2020/2/4 0:00:00
15,2846.65,5506.64,3139.23,2120.1,2676.16,2020/2/3 0:00:00
16,3072.23,6024.25,3417.64,2297.55,2898.1,2020/1/23 0:00:00
17,3173.53,6241.15,3534.23,2381.86,2994.8,2020/1/22 0:00:00
18,3148.12,6181.69,3516.89,2356.67,2973.83,2020/1/21 0:00:00
19,3209.99,6254.07,3566.07,2374.58,3023.93,2020/1/20 0:00:00
20,3184.61,6157.96,3530.02,2330.11,2995.09,2020/1/17 0:00:00
21,3177.97,6186.42,3532.99,2335.88,2991.03,2020/1/16 0:00:00
22,3188.11,6195.87,3543.21,2333.62,3000.11,2020/1/15 0:00:00
23,3200.54,6200.49,3556.2,2332.78,3010.93,2020/1/14 0:00:00
24,3217.83,6205.36,3565.81,2342.26,3025.02,2020/1/13 0:00:00
25,3179.95,6106.43,3526.28,2305.89,2990.99,2020/1/10 0:00:00
26,3179.42,6119.04,3531.11,2313.31,2989.78,2020/1/9 0:00:00
27,3132.11,6014.15,3481.01,2258.87,2946.28,2020/1/8 0:00:00
28,3159.34,6095.32,3524.61,2290.79,2979.85,2020/1/7 0:00:00
29,3131.99,6021.93,3487.94,2251.46,2956.69,2020/1/6 0:00:00
30,3151.32,5962.74,3480.68,2227.05,2963.78,2020/1/3 0:00:00
31,3165.86,5934.81,3477.18,2218.49,2968.69,2020/1/2 0:00:00
32,3128.3,5801.17,3422.84,2172.43,2926.99,2019/12/31 0:00:00
33,3126.6,5759.3,3407.27,2163.28,2915.92,2019/12/30 0:00:00
34,3072.99,5720.5,3369.1,2149.58,2871.72,2019/12/27 0:00:00
35,3069.64,5756.31,3383.5,2181.82,2878.7,2019/12/26 0:00:00
36,3045.36,5719.21,3356.16,2169.2,2855.22,2019/12/25 0:00:00
37,3052.02,5694.66,3349.69,2150.39,2854.15,2019/12/24 0:00:00
