,Unnamed: 0,指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
4871,4871,801230,综合,1999/12/30 0:00:00,1000.0,1000.0,1000.0,1000.0,0.2,2.28,0.0,0.69,47.94,4.36,12.02,4.78,297.74,8.27,
4870,4870,801230,综合,2000/1/4 0:00:00,1001.92,1044.67,987.96,1029.81,0.4,4.14,2.98,1.36,47.88,4.55,12.37,4.15,306.64,8.52,0.15
4869,4869,801230,综合,2000/1/5 0:00:00,1036.1,1073.0,1019.1,1047.65,0.7,7.66,1.73,2.37,48.64,4.62,12.5,5.08,311.97,8.67,0.15
4868,4868,801230,综合,2000/1/6 0:00:00,1044.52,1090.9,1027.3,1083.61,0.76,8.33,3.43,2.54,50.37,4.78,12.86,4.61,322.71,8.96,0.15
4867,4867,801230,综合,2000/1/7 0:00:00,1094.28,1149.26,1082.56,1132.7,1.59,19.0,4.53,5.34,52.35,4.97,13.32,5.2,338.3,9.14,0.14
4866,4866,801230,综合,2000/1/10 0:00:00,1149.07,1187.57,1116.7,1164.68,1.51,19.15,2.82,5.08,54.08,5.13,13.73,5.36,347.0,9.64,0.14
4865,4865,801230,综合,2000/1/11 0:00:00,1168.31,1180.36,1097.66,1115.26,1.26,14.59,-4.24,4.25,51.98,4.93,13.17,5.12,332.24,9.23,0.14
4864,4864,801230,综合,2000/1/12 0:00:00,1109.1,1140.63,1065.34,1088.57,0.92,10.92,-2.39,3.1,51.31,4.87,12.94,4.95,324.27,9.01,0.14
4863,4863,801230,综合,2000/1/13 0:00:00,1092.3,1109.49,1056.35,1075.84,0.56,5.89,-1.17,1.88,50.36,4.77,12.9,4.49,320.46,8.9,0.15
4862,4862,801230,综合,2000/1/14 0:00:00,1075.91,1100.24,1047.65,1063.67,0.46,4.87,-1.13,1.53,50.18,4.76,12.82,4.37,317.68,8.59,0.15
4861,4861,801230,综合,2000/1/17 0:00:00,1060.8,1095.85,1040.9,1087.63,0.56,5.84,2.25,1.89,51.37,4.87,13.07,5.05,324.02,9.0,0.14
4860,4860,801230,综合,2000/1/18 0:00:00,1090.21,1109.31,1062.72,1081.08,0.49,5.91,-0.6,1.66,50.75,4.81,13.09,4.34,322.06,8.95,0.15
4859,4859,801230,综合,2000/1/19 0:00:00,1078.18,1113.69,1062.86,1099.02,0.45,5.65,1.66,1.51,51.27,4.86,13.38,4.32,327.42,9.1,0.14
4858,4858,801230,综合,2000/1/20 0:00:00,1094.67,1133.51,1080.47,1119.25,0.57,7.16,1.84,1.92,52.48,4.98,13.66,3.76,333.46,9.26,0.14
4857,4857,801230,综合,2000/1/21 0:00:00,1123.55,1164.94,1102.6,1129.79,0.94,11.54,0.94,3.15,53.31,5.05,13.8,4.27,337.43,9.12,0.14
4856,4856,801230,综合,2000/1/24 0:00:00,1132.03,1166.96,1096.63,1144.44,0.85,11.07,1.3,2.88,54.54,5.16,13.97,3.79,341.02,9.47,0.14
4855,4855,801230,综合,2000/1/25 0:00:00,1148.99,1178.69,1111.44,1137.18,0.96,12.12,-0.63,3.23,53.86,5.03,13.85,4.73,338.85,9.41,0.14
4854,4854,801230,综合,2000/1/26 0:00:00,1137.49,1170.73,1113.64,1140.3,0.73,9.35,0.27,2.46,53.92,5.04,13.95,4.94,339.78,9.44,0.14
4853,4853,801230,综合,2000/1/27 0:00:00,1150.76,1206.19,1129.43,1184.59,1.2,15.36,3.88,4.05,55.96,5.22,14.47,5.03,353.01,9.81,0.13
4852,4852,801230,综合,2000/1/28 0:00:00,1193.81,1249.05,1173.89,1220.55,1.51,20.93,3.04,5.06,57.7,5.39,14.93,5.48,364.54,9.85,0.13
4851,4851,801230,综合,2000/2/14 0:00:00,1268.81,1335.98,1251.61,1334.41,1.54,21.38,9.33,5.18,63.22,5.9,16.29,4.98,397.8,11.05,0.12
4850,4850,801230,综合,2000/2/15 0:00:00,1393.82,1447.61,1334.31,1378.31,2.63,38.49,3.29,8.85,65.01,6.05,16.65,5.79,410.91,11.41,0.11
4849,4849,801230,综合,2000/2/16 0:00:00,1396.4,1461.29,1344.83,1432.5,2.66,38.36,3.93,8.95,67.47,6.28,17.26,5.92,427.09,11.86,0.11
4848,4848,801230,综合,2000/2/17 0:00:00,1474.49,1542.22,1323.3,1365.0,3.21,46.93,-4.71,10.8,63.57,5.92,16.46,5.34,406.94,11.3,0.12
4847,4847,801230,综合,2000/2/18 0:00:00,1342.46,1415.52,1281.94,1392.51,1.82,24.11,2.02,6.09,64.3,5.99,16.71,4.75,415.9,11.24,0.12
4846,4846,801230,综合,2000/2/21 0:00:00,1412.51,1459.73,1338.19,1400.03,2.1,29.62,0.54,7.06,64.4,5.95,16.53,4.99,417.43,11.6,0.12
